Date,GOLD
1980-06-24,622.0
1980-06-25,627.0
1980-06-26,650.0
1980-06-29,647.40002441
1980-06-30,666.5
1980-07-01,660.79998779
1980-07-02,670.5
1980-07-06,678.5
1980-07-07,684.0
1980-07-08,662.0
1980-07-09,661.0
1980-07-10,666.5
1980-07-13,633.0
1980-07-14,608.5
1980-07-15,626.40002441
1980-07-16,618.40002441
1980-07-17,612.0
1980-07-20,612.20001221
1980-07-21,629.0
1980-07-22,631.0
1980-07-23,639.0
1980-07-24,650.0
1980-07-27,646.0
1980-07-28,637.5
1980-07-29,613.5
1980-07-30,619.70001221
1980-07-31,617.5
1980-08-03,627.09997559
1980-08-04,627.5
1980-08-05,632.0
1980-08-06,634.5
1980-08-07,626.20001221
1980-08-10,603.20001221
1980-08-11,614.20001221
1980-08-12,616.29998779
1980-08-13,628.59997559
1980-08-14,616.20001221
1980-08-17,621.0
1980-08-18,623.09997559
1980-08-19,645.5
1980-08-20,638.20001221
1980-08-21,636.59997559
1980-08-24,622.79998779
1980-08-25,630.20001221
1980-08-26,632.29998779
1980-08-27,634.0
1980-08-28,635.0
1980-09-01,639.0
1980-09-02,637.79998779
1980-09-03,652.0
1980-09-04,652.5
1980-09-07,680.0
1980-09-08,671.5
1980-09-09,681.5
1980-09-10,689.90002441
1980-09-11,682.5
1980-09-14,663.90002441
1980-09-15,677.0
1980-09-16,674.0
1980-09-17,673.90002441
1980-09-18,686.0
1980-09-21,715.0
1980-09-22,711.5
1980-09-23,709.5
1980-09-24,705.0
1980-09-25,669.5
1980-09-28,660.5
1980-09-29,671.5
1980-09-30,680.5
1980-10-01,670.5
1980-10-02,670.0
1980-10-05,679.0
1980-10-06,674.29998779
1980-10-07,676.5
1980-10-08,686.0
1980-10-09,686.70001221
1980-10-12,679.0
1980-10-13,676.0
1980-10-14,674.5
1980-10-15,670.0
1980-10-16,655.20001221
1980-10-19,657.20001221
1980-10-20,658.0
1980-10-21,651.0
1980-10-22,623.5
1980-10-23,631.5
1980-10-26,633.79998779
1980-10-27,636.29998779
1980-10-28,641.0
1980-10-29,641.0
1980-10-30,630.0
1980-11-02,648.0
1980-11-04,648.0
1980-11-05,614.0
1980-11-06,602.5
1980-11-09,608.0
1980-11-10,602.0
1980-11-11,614.79998779
1980-11-12,615.0
1980-11-13,616.0
1980-11-16,614.0
1980-11-17,618.29998779
1980-11-18,631.5
1980-11-19,642.0
1980-11-20,640.0
1980-11-23,617.5
1980-11-24,628.0
1980-11-25,622.59997559
1980-11-27,624.59997559
1980-11-30,626.59997559
1980-12-01,622.20001221
1980-12-02,628.70001221
1980-12-03,621.79998779
1980-12-04,620.79998779
1980-12-07,613.20001221
1980-12-08,591.29998779
1980-12-09,565.0
1980-12-10,544.0
1980-12-11,572.5
1980-12-14,573.59997559
1980-12-15,565.0
1980-12-16,574.0
1980-12-17,570.0
1980-12-18,594.29998779
1980-12-21,592.20001221
1980-12-22,605.59997559
1980-12-23,606.5
